fldc_fieldkey,fldc_cropkey,fldc_begindate,fldc_enddate,fldc_yield,fldc_yield_unit
1,1,2016-02-15,2016-12-15,720,"kg/ha"
1,4,2016-09-25,2017-03-20,3500,"kg/ha"
1,3,2016-06-05,2016-09-15,4500,"kg/ha"
1,1,2016-02-15,2017-12-15,730,"kg/ha"
1,1,2017-02-15,2017-12-15,735,"kg/ha"
1,4,2017-03-01,2017-09-20,3600,"kg/ha"
1,3,2017-06-05,2017-09-10,4600,"kg/ha"
1,4,2017-09-01,2017-12-15,3650,"kg/ha"
1,3,2017-09-15,2017-12-01,4650,"kg/ha"
1,3,2017-09-15,2017-12-01,4650,"kg/ha"
1,1,2017-12-01,2018-12-10,740,"kg/ha"
1,4,2018-03-05,2018-09-15,3700,"kg/ha"
1,3,2018-06-10,2018-09-20,4700,"kg/ha"
1,4,2018-03-01,2018-09-15,3700,"kg/ha"
1,3,2018-06-05,2018-09-10,4650,"kg/ha"
1,1,2018-12-01,2019-12-05,745,"kg/ha"
1,4,2019-03-05,2019-09-15,3750,"kg/ha"
1,3,2019-06-10,2019-09-20,4750,"kg/ha"
1,4,2019-03-05,2019-09-15,3750,"kg/ha"
1,3,2019-06-10,2019-09-20,4750,"kg/ha"
1,1,2019-02-15,2019-12-15,750,"kg/ha"
1,4,2019-03-15,2019-09-20,3800,"kg/ha"
1,4,2019-03-05,2019-09-15,3750,"kg/ha"
1,3,2019-06-10,2019-09-20,4750,"kg/ha"
1,1,2019-02-15,2019-12-15,750,"kg/ha"
1,4,2019-03-15,2019-09-20,3800,"kg/ha"
1,3,2019-06-05,2019-09-10,4700,"kg/ha"
1,3,2019-09-15,2019-12-01,4800,"kg/ha"
1,4,2019-09-01,2019-12-15,3850,"kg/ha"
1,1,2019-12-01,2020-12-10,755,"kg/ha"
1,4,2020-03-01,2020-09-15,3950,"kg/ha"
1,3,2020-06-05,2020-09-10,4750,"kg/ha"
1,1,2019-12-15,2020-12-10,750,"kg/ha"
1,4,2020-03-01,2020-09-20,3800,"kg/ha"
1,3,2020-06-05,2020-09-10,4750,"kg/ha"
1,4,2020-03-05,2020-09-15,3700,"kg/ha"
1,3,2020-06-10,2020-09-20,4700,"kg/ha"
1,5,2020-03-20,2020-06-15,1200,"kg/ha"
1,6,2020-06-20,2020-09-05,800,"kg/ha"
1,4,2020-09-01,2020-12-15,3650,"kg/ha"
1,3,2020-09-10,2020-12-05,4650,"kg/ha"
1,5,2020-09-15,2020-11-20,1000,"kg/ha"
1,1,2020-12-01,2021-12-10,760,"kg/ha"
1,4,2021-03-05,2021-09-20,3750,"kg/ha"
1,3,2021-06-05,2021-09-10,4800,"kg/ha"
1,5,2021-03-15,2021-06-10,1250,"kg/ha"
1,6,2021-06-15,2021-09-05,850,"kg/ha"
1,4,2021-09-01,2021-12-15,3700,"kg/ha"
1,3,2021-09-10,2021-12-05,4700,"kg/ha"
1,5,2021-09-15,2021-11-20,1100,"kg/ha"
1,1,2021-12-01,2022-12-10,770,"kg/ha"
1,1,2022-12-01,2023-12-10,780,"kg/ha"
1,4,2022-03-05,2022-09-20,3850,"kg/ha"
1,3,2022-06-05,2022-09-10,4900,"kg/ha"
1,5,2022-03-15,2022-06-10,1270,"kg/ha"
1,6,2022-06-15,2022-09-05,870,"kg/ha"
1,4,2022-09-01,2022-12-15,3800,"kg/ha"
1,3,2022-09-10,2022-12-05,4750,"kg/ha"
1,5,2022-09-15,2022-11-20,1120,"kg/ha"
1,1,2023-12-01,2024-12-10,790,"kg/ha"
1,4,2023-03-05,2023-09-20,3900,"kg/ha"
1,3,2023-06-05,2023-09-10,4950,"kg/ha"
1,5,2023-03-15,2023-06-10,1300,"kg/ha"
1,6,2023-06-15,2023-09-05,880,"kg/ha"
1,4,2023-09-01,2023-12-15,3850,"kg/ha"
1,3,2023-09-10,2023-12-05,4800,"kg/ha"
1,5,2023-09-15,2023-11-20,1150,"kg/ha"
2,2,2016-03-15,2016-12-20,4000.00,"kg/ha"
2,4,2016-03-20,2016-09-15,3500.00,"kg/ha"
2,2,2017-03-15,2017-12-20,4020.00,"kg/ha"
2,4,2017-03-22,2017-09-12,3550.00,"kg/ha"
2,2,2018-03-15,2018-12-20,3980.00,"kg/ha"
2,4,2018-03-25,2018-09-14,3600.00,"kg/ha"
2,2,2019-03-15,2019-12-20,4050.00,"kg/ha"
2,4,2019-03-20,2019-09-15,3480.00,"kg/ha"
2,2,2020-03-15,2020-12-20,4005.00,"kg/ha"
2,4,2020-03-23,2020-09-16,3520.00,"kg/ha"
2,2,2021-03-15,2021-12-20,4030.00,"kg/ha"
2,4,2021-03-21,2021-09-15,3555.00,"kg/ha"
2,2,2022-03-15,2022-12-20,4010.00,"kg/ha"
2,4,2022-03-24,2022-09-14,3570.00,"kg/ha"
2,2,2023-03-15,2023-12-20,4040.00,"kg/ha"
2,4,2023-03-22,2023-09-16,3505.00,"kg/ha"
2,2,2024-03-15,2024-12-20,4025.00,"kg/ha"
2,4,2024-03-21,2024-09-15,3580.00,"kg/ha"
3,7,2016-03-20,2016-09-25,4200.00,"kg/ha"
3,12,2016-04-05,2016-09-10,3500.00,kg/ha
